Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
présentation,,subjid,Numéro d'identification des participants (PIN),,Le numéro d'identification ou le PIN des participants est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d'identification des participants (PIN).,1,,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_disease,Infection suspectée ou confirmée,,Cela fait référence à toute infection suspectée ou confirmée.,"Si plus d'une infection est suspectée, sélectionnez la section de test des agents pathogènes et complétez la section des agents de pathogène avec confirmation de laboratoire.",1,0,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_reason,L'infection suspectée ou confirmée est-elle la raison de l'admission à l'hôpital ?,"1, Oui | 0, Non | 99, Inconnu",Cela fait référence à l'infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital.,Indiquez «oui» si une infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital. Indiquez «non» si l'infection suspectée ou confirmée par l'agent pathogène d'intérêt n'est pas la raison (indication) de l'admission à l'hôpital.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_case,Statut du cas,"1, Confirmé | 2, Probable | 3, Suspecté | 4, Écarté | 5, Erreur","Confirmé désigne un cas confirmé en laboratoire et pouvant répondre aux critères cliniques décrits dans la définition de cas. Probable désigne une maladie cliniquement compatible, épidémiologiquement liée à un cas confirmé, sans confirmation en laboratoire de l'infection par l'agent pathogène d'intérêt. Suspecté désigne une maladie cliniquement compatible, sans lien épidémiologique ni confirmation en laboratoire. Rejeté désigne un patient dont le test de laboratoire est négatif et qui ne répond pas aux critères d'un cas suspect, probable ou confirmé. ","Sélectionnez l'option la plus appropriée qui correspond à l'état du cas. ",1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_testreason,Raison pour laquelle le patient a été testé,"1, Symptomatique | 2, Asymptomatique, contact tracé | 3, Asymptomatique, campagne de dépistage de masse | 4, Non testé",Cela fait référence à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_testreason_otth,Précisez autre raison,,Il s'agit de la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,1,0,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_consentdes,Consentement,,,,1,0,0,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent,Le participant (ou leur représentant) a donné son consentement à participer à cette étude.,"1, Oui | 0, Non, le participant n'a pas accepté de participer à l'étude | 2, Non, le comité d'éthique a approuvé une dérogation au consentement | 99, Inconnu",Cela fait référence à la fourniture d'un consentement éclairé par le patient ou à leur représentant pour participer à cette étude.,Indiquez «oui» si le patient ou son représentant a donné son consentement éclairé pour la participation à cette étude.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_date,Date de consentement,,Cela se réfère à ce jour à laquelle un consentement éclairé a été donné pour l'inclusion des participants dans cette étude.,Écrivez la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format DD / MM / YYYY.,1,0,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_consent_who,Consentement fourni par,"1, Participant | 2, Parent/tuteur | 3, Personne consultée | 4, Clinicien indépendant ",Cela fait référence à qui a donné le consentement à la participation à cette étude.,Sélectionnez l'option la plus appropriée qui représente qui a donné le consentement à la participation à cette étude.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_whopg,Si le parent / tuteur donne son consentement: l'enfant ou le jeune donne-t-il son assentiment?,"1, Oui | 0, Non | 2, Incompétent","Cela fait référence à l'assentiment donné par un mineur ou un adulte qui n'est pas en mesure de donner son consentement en leur nom, pour participer à une étude. L'assentiment doit être accompagné du consentement d'un parent ou d'un tuteur légal pour toute participation à l'étude.",Sélectionnez l'option la plus appropriée qui représente si l'assentiment a été fourni pour participer à cette étude.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent2des,"Utilisation secondaire des données collectées, le participant a accepté les déclarations suivantes :",,,,1,0,0,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_secrsch,"Utilisation future des données pseudonymisées dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non",Désigne le consentement à l'utilisation secondaire future de données pseudonymisées dans le cadre de recherches approuvées sur le plan éthique.,Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_secprod,"Utilisation future des données pseudonymisées pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future de données pseudonymisées pour la fabrication de tests, de traitements ou d'autres produits, y compris des produits commerciaux.",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_secgen,"Utilisation future des données génétiques pseudonymisées dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non",Désigne le consentement à l'utilisation secondaire future de données génétiques pseudonymisées dans le cadre de recherches approuvées sur le plan éthique.,Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consentsecsamp,"Utilisation secondaire des échantillons prélevés, le participant était d'accord avec les affirmations suivantes:",,,,1,0,0,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_secsamprsch,"Utilisation future des échantillons pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays.",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_secsampprod,"Utilisation future des échantillons ou des matériaux pseudonymisés ou des données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons ou de matériaux pseudonymisés ou de données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux.",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_secsampgen,"Utilisation future des échantillons génétiques pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons génétiques pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays.",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consentcont,Contact,,,,1,0,0,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent_contnstudy,"À contacter pour participer à des travaux futurs, y compris des études de recherche","1, Oui | 0, Non","Désigne la personne à contacter pour participer à des travaux futurs, y compris des études de recherche",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.,1,0,0,0,0,0
présentation,APPARITION ET PRÉSENTATION,pres_onsetdate,Date d'apparition du premier symptôme / du symptôme le plus ancien,,Il s'agit de la date d'apparition du premier symptôme ou du symptôme le plus précoce cliniquement lié à l'épisode actuel de la maladie.,"Indiquez la date de l'apparition du premier symptôme que vous estimez cliniquement lié à cet épisode de maladie, au format JJ/MM/AAAA.",1,0,0,0,0,
présentation,APPARITION ET PRÉSENTATION,pres_symptpres,Symptomatique lors de la présentation initiale ?,"1, Oui | 0, Non | 99, Inconnu","Il s'agit de savoir si le patient présentait des symptômes lors de la consultation initiale. ",Indiquez « Oui » si le patient présentait des symptômes lors de la consultation initiale.,1,0,0,0,0,0
présentation,APPARITION ET PRÉSENTATION,pres_firstsym,Symptôme(s) pendant les premières 24 heures de la maladie (sélectionnez toutes les réponses qui s'appliquent),,"Il s'agit du premier symptôme, ou des premiers symptômes (si plusieurs sont apparus en même temps), que vous estimez cliniquement liés à cet épisode de la maladie.",Sélectionnez tous les symptômes que le patient a présentés au cours des premières 24 heures de la maladie (sélectionnez toutes les réponses qui s'appliquent).,1,0,0,0,0,
présentation,APPARITION ET PRÉSENTATION,pres_consultdate,Date de la première consultation clinique,,Il s'agit de la date de la première consultation clinique liée à l'épisode actuel de la maladie.,Indiquez la date de la première consultation clinique liée à l'épisode actuel de la maladie au format JJ/MM/AAAA.,1,0,0,0,0,
